date,category,sales,quantity,region
2024-01-01,Electronics,1500,10,North
2024-01-02,Clothing,800,25,South
2024-01-03,Electronics,2100,15,East
2024-01-04,Food,450,50,West
2024-01-05,Clothing,1200,30,North
2024-01-06,Electronics,1800,12,South
2024-01-07,Food,600,45,East
2024-01-08,Clothing,950,28,West
2024-01-09,Electronics,2500,18,North
2024-01-10,Food,380,40,South
2024-01-11,Electronics,1900,14,East
2024-01-12,Clothing,1100,32,West
2024-01-13,Food,520,48,North
2024-01-14,Electronics,2200,16,South
2024-01-15,Clothing,850,22,East
2024-02-01,Electronics,1650,11,West
2024-02-02,Food,490,42,North
2024-02-03,Clothing,1050,27,South
2024-02-04,Electronics,2300,17,East
2024-02-05,Food,410,38,West
